名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,都道府県,携帯,キャリア,カレーの食べ方
ト字 窈,とじ よう,toji_you@example.com,女,48,1972/11/26,既婚,東京都,090-9559-4965,au,ぶっかけ・ルー攻め派
横山 芽以,よこやま めい,yokoyama_mei@example.com,女,44,1976/10/11,既婚,福岡県,080-7833-5100,ドコモ,左ルー・別口派
竹内 サンタマリア,たけうち さんたまりあ,takeuchi_stmaria@example.com,男,31,1989/9/26,既婚,和歌山県,090-4136-9071,ドコモ,右ルー・ルー攻め派
香川 徹,かがわ とおる,kagawa_tooru@example.com,男,56,1964/7/28,既婚,長野県,090-6920-2016,au,奥ルー・ルー攻め派
大沢 エリカ,おおさわ えりか,oosawa_erika@example.com,女,67,1954/5/6,既婚,京都府,090- 138-8570,ドコモ,手前ルー・別口派
佐々木 雅彦,ささき まさひこ,sasaki_masahiko@example.com,男,40,1981/3/21,既婚,大分県,080-2264-8332,ドコモ,奥ルー・ナン派
早川 理紗,はやかわ りさ,hayakawa_risa@example.com,女,36,1984/8/18,既婚,東京都,080-7170-9853,au,ぶっかけ・ルー攻め派
青野 真奈美,あおの まなみ,aono_manami@example.com,女,36,1984/12/5,既婚,福島県,090-5996-9367,ソフトバンク,手前ルー・混ぜ混ぜ派
小菅 路子,こすげ みちこ,kosuge_michiko@example.com,女,54,1966/12/6,既婚,長崎県,090-9910-1427,ドコモ,手前ルー・ルー攻め派
村瀬 那奈,むらせ なな,murase_nana@example.com,女,62,1958/8/21,既婚,山口県,080-2363-2990,ドコモ,左ルー・ルー攻め派
村岡 れいな,むらおか れいな,muraoka_reina@example.com,女,29,1991/11/30,既婚,鳥取県,080-3776-2929,ドコモ,左ルー・別口派
島本 季衣,しまもと としえ,shimamoto_toshie@example.com,女,64,1956/12/2,既婚,東京都,090-1697-9808,au,ぶっかけ・せき止め派
妹尾 隼士,せお しゅんじ,seo_shunji@example.com,男,77,1943/9/22,既婚,新潟県,090- 257-9802,ドコモ,左ルー・せき止め派
手塚 みゆき,てづか みゆき,teduka_miyuki@example.com,女,77,1944/5/5,既婚,愛知県,080-5484-8441,ソフトバンク,ぶっかけ・せき止め派
野中 春樹,のなか はるき,nonaka_haruki@example.com,女,66,1955/6/15,既婚,千葉県,080- 970-6393,ドコモ,ぶっかけ・別口派
田上 ジローラモ,たうえ じろーらも,taue_girolamo@example.com,男,69,1952/7/19,既婚,福岡県,090-9094-3703,au,ぶっかけ・ルー攻め派
土谷 まみ,つちや まみ,tsuchiya_mami@example.com,女,79,1942/2/20,既婚,千葉県,090-6263-3097,ドコモ,左ルー・せき止め派
永田 陽子,ながた ようこ,nagata_youko@example.com,女,72,1948/8/4,既婚,長野県,080-4207- 162,ソフトバンク,ぶっかけ・せき止め派
宮崎 照生,みやざき てるお,miyazaki_teruo@example.com,男,45,1976/3/11,既婚,福島県,080-5544-8508,au,ぶっかけ・ルー攻め派
大庭 一哉,おおにわ かずや,ooniwa_kazuya@example.com,男,41,1979/7/30,未婚,大分県,080-6813-6784,au,右ルー・ルー攻め派
上原 恭子,うえはら きょうこ,uehara_kyouko@example.com,女,68,1952/12/4,既婚,愛知県,080-5135-2449,ドコモ,奥ルー・ルー攻め派
川越 恵麻,かわごえ えま,kawagoe_ema@example.com,女,22,1999/5/7,未婚,福岡県,090-8372-2251,ドコモ,左ルー・せき止め派
藤村 遥,ふじむら はるか,fujimura_haruka@example.com,女,44,1977/3/31,既婚,茨城県,090-2626-5253,au,左ルー・せき止め派
村田 菜々美,むらた ななみ,murata_nanami@example.com,女,36,1985/4/2,既婚,千葉県,080-8281-6254,au,別盛り・せき止め派
塩谷 新太,しおや あらた,shioya_arata@example.com,男,58,1963/7/8,既婚,岡山県,090-9381-8314,ドコモ,左ルー・ルー攻め派
小椋 めぐみ,おぐら めぐみ,ogura_megumi@example.com,女,39,1982/2/13,既婚,愛知県,090-9459-2551,au,ぶっかけ・混ぜ混ぜ派
工藤 春樹,くどう はるき,kudou_haruki@example.com,女,74,1947/3/3,既婚,埼玉県,090-9498-9198,au,手前ルー・混ぜ混ぜ派
宍戸 七世,ししど ななせ,shishido_nanase@example.com,女,54,1966/12/14,既婚,京都府,090-6152-2020,ソフトバンク,ぶっかけ・混ぜ混ぜ派
大畑 勤,おおはた つとむ,oohata_tsutomu@example.com,男,73,1947/9/10,既婚,鹿児島県,090-1168-5411,ドコモ,左ルー・ナン派
安藤 昌代,あんどう まさよ,ando_masayo@example.com,女,51,1970/5/11,既婚,茨城県,080-3068-2218,ドコモ,手前ルー・せき止め派
片瀬 雅彦,かたせ まさひこ,katase_masahiko@example.com,男,37,1984/4/19,既婚,東京都,090-6898-6258,ドコモ,ぶっかけ・せき止め派
